Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is vth
strin_x    strain_y    strain_z    vth
-0.012   -0.02   -0.008  0.4645843
-0.012   -0.02   -0.007  0.4575249
-0.012   -0.02   -0.006  0.44945937
-0.012   -0.02   -0.005  0.44105414
-0.012   -0.02   -0.004  0.433114
-0.012   -0.02   -0.003  0.42543024
-0.012   -0.02   -0.002  0.41789544
-0.012   -0.02   -0.001  0.41011268
-0.012   -0.02   0.0  0.40369004
-0.012   -0.02   0.001  0.398178
-0.012   -0.02   0.002  0.39280754
-0.012   -0.02   0.003  0.38755912
-0.012   -0.02   0.004  0.38317308
-0.012   -0.02   0.005  0.3775701
-0.012   -0.02   0.006  0.37236768
-0.012   -0.02   0.007  0.36732864
-0.012   -0.02   0.008  0.36219925
-0.012   -0.02   0.009  0.3568805
-0.012   -0.02   0.01  0.35241705
-0.012   -0.02   0.011  0.34780508
-0.012   -0.02   0.012  0.3431751
-0.012   -0.02   0.013  0.3384198
-0.012   -0.02   0.014  0.3336679
-0.012   -0.02   0.015  0.32894447
-0.012   -0.02   0.016  0.3244112
-0.012   -0.02   0.017  0.32049292
-0.012   -0.02   0.018  0.31673884
-0.012   -0.02   0.019  0.31256154
-0.011   -0.02   -0.02  0.55913484
-0.011   -0.02   -0.019  0.5506405
-0.011   -0.02   -0.018  0.5425599
-0.011   -0.02   -0.017  0.5347801
-0.011   -0.02   -0.016  0.5263939
-0.011   -0.02   -0.015  0.5181037
-0.011   -0.02   -0.014  0.5096696
-0.011   -0.02   -0.013  0.5012058
-0.011   -0.02   -0.012  0.49298477
-0.011   -0.02   -0.011  0.48462313
-0.011   -0.02   -0.01  0.476138
-0.011   -0.02   -0.009  0.46847826
-0.011   -0.02   -0.008  0.46116054
-0.011   -0.02   -0.007  0.4538378
-0.011   -0.02   -0.006  0.44582266
-0.011   -0.02   -0.005  0.43803805
-0.011   -0.02   -0.004  0.43013024
-0.011   -0.02   -0.003  0.4229171
-0.011   -0.02   -0.002  0.41549808
-0.011   -0.02   -0.001  0.4077415
-0.011   -0.02   0.0  0.4016419
-0.011   -0.02   0.001  0.3960849
-0.011   -0.02   0.002  0.3907146
-0.011   -0.02   0.003  0.38577735
-0.011   -0.02   0.004  0.3809126
-0.011   -0.02   0.005  0.37550747
-0.011   -0.02   0.006  0.3708095
-0.011   -0.02   0.007  0.3655787
-0.011   -0.02   0.008  0.36028713
-0.011   -0.02   0.009  0.35547918
-0.011   -0.02   0.01  0.3511436
-0.011   -0.02   0.011  0.34637618
-0.011   -0.02   0.012  0.34167027
-0.011   -0.02   0.013  0.33679032
-0.011   -0.02   0.014  0.33203948
-0.011   -0.02   0.015  0.32732344
-0.011   -0.02   0.016  0.322906
-0.011   -0.02   0.017  0.31897107
-0.011   -0.02   0.018  0.31479764
-0.011   -0.02   0.019  0.31048107
-0.01   -0.02   -0.02  0.55633795
-0.01   -0.02   -0.019  0.5472683
-0.01   -0.02   -0.018  0.53928727
-0.01   -0.02   -0.017  0.531303
-0.01   -0.02   -0.016  0.52318823
-0.01   -0.02   -0.015  0.51450187
-0.01   -0.02   -0.014  0.5060771
-0.01   -0.02   -0.013  0.4975506
-0.01   -0.02   -0.012  0.48947585
-0.01   -0.02   -0.011  0.48138636
-0.01   -0.02   -0.01  0.47289824
-0.01   -0.02   -0.009  0.46503192
-0.01   -0.02   -0.008  0.45762342
-0.01   -0.02   -0.007  0.44994822
-0.01   -0.02   -0.006  0.44226038
-0.01   -0.02   -0.005  0.43452656
-0.01   -0.02   -0.004  0.42713994
-0.01   -0.02   -0.003  0.41983432
-0.01   -0.02   -0.002  0.41237718
-0.01   -0.02   -0.001  0.40534395
-0.01   -0.02   0.0  0.39942217
-0.01   -0.02   0.001  0.3937269
-0.01   -0.02   0.002  0.38842642
-0.01   -0.02   0.003  0.3837716
-0.01   -0.02   0.004  0.37889582
-0.01   -0.02   0.005  0.37383378
-0.01   -0.02   0.006  0.3689458
-0.01   -0.02   0.007  0.36371654
-0.01   -0.02   0.008  0.35843527
-0.01   -0.02   0.009  0.35363698
-0.01   -0.02   0.01  0.34964454
-0.01   -0.02   0.011  0.3451805
-0.01   -0.02   0.012  0.34045613
-0.01   -0.02   0.013  0.33566487
-0.01   -0.02   0.014  0.33073014
-0.01   -0.02   0.015  0.32605708
-0.01   -0.02   0.016  0.3218215
-0.01   -0.02   0.017  0.31738174
-0.01   -0.02   0.018  0.31263593
-0.01   -0.02   0.019  0.307833
-0.009   -0.02   -0.02  0.5536354
-0.009   -0.02   -0.019  0.54469097
-0.009   -0.02   -0.018  0.53605986
-0.009   -0.02   -0.017  0.5278615
-0.009   -0.02   -0.016  0.52024937
-0.009   -0.02   -0.015  0.5116548
-0.009   -0.02   -0.014  0.50303733
-0.009   -0.02   -0.013  0.49435896
-0.009   -0.02   -0.012  0.486297
-0.009   -0.02   -0.011  0.47805536
