Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is v1
strin_x    strain_y    strain_z    v1
-0.015   -0.02   -0.019  0.530164
-0.015   -0.02   -0.018  0.53132343
-0.015   -0.02   -0.017  0.5321734
-0.015   -0.02   -0.016  0.5329387
-0.015   -0.02   -0.015  0.5338982
-0.015   -0.02   -0.014  0.53432333
-0.015   -0.02   -0.013  0.5348685
-0.015   -0.02   -0.012  0.5352345
-0.015   -0.02   -0.011  0.5355373
-0.015   -0.02   -0.01  0.53592455
-0.015   -0.02   -0.009  0.53686213
-0.015   -0.02   -0.008  0.5379013
-0.015   -0.02   -0.007  0.5389444
-0.015   -0.02   -0.006  0.53973716
-0.015   -0.02   -0.005  0.54053426
-0.015   -0.02   -0.004  0.5420525
-0.015   -0.02   -0.003  0.54394394
-0.015   -0.02   -0.002  0.5461474
-0.015   -0.02   -0.001  0.54882264
-0.015   -0.02   0.0  0.5515387
-0.015   -0.02   0.001  0.55401295
-0.015   -0.02   0.002  0.55591494
-0.015   -0.02   0.003  0.557349
-0.015   -0.02   0.004  0.55865276
-0.015   -0.02   0.005  0.5598922
-0.015   -0.02   0.006  0.56072915
-0.015   -0.02   0.007  0.56214726
-0.015   -0.02   0.008  0.56365836
-0.015   -0.02   0.009  0.5646972
-0.015   -0.02   0.01  0.5659279
-0.015   -0.02   0.011  0.56755227
-0.015   -0.02   0.012  0.5697402
-0.015   -0.02   0.013  0.5727122
-0.015   -0.02   0.014  0.5753993
-0.015   -0.02   0.015  0.5781852
-0.015   -0.02   0.016  0.58134043
-0.015   -0.02   0.017  0.58447564
-0.015   -0.02   0.018  0.5877681
-0.015   -0.02   0.019  0.5915206
-0.014   -0.02   -0.02  0.51901674
-0.014   -0.02   -0.019  0.5205026
-0.014   -0.02   -0.018  0.5220187
-0.014   -0.02   -0.017  0.52304864
-0.014   -0.02   -0.016  0.52370787
-0.014   -0.02   -0.015  0.524367
-0.014   -0.02   -0.014  0.5248666
-0.014   -0.02   -0.013  0.52550024
-0.014   -0.02   -0.012  0.5254893
-0.014   -0.02   -0.011  0.5258236
-0.014   -0.02   -0.01  0.5261772
-0.014   -0.02   -0.009  0.526634
-0.014   -0.02   -0.008  0.5273687
-0.014   -0.02   -0.007  0.52819365
-0.014   -0.02   -0.006  0.5293393
-0.014   -0.02   -0.005  0.5303993
-0.014   -0.02   -0.004  0.5314629
-0.014   -0.02   -0.003  0.5335094
-0.014   -0.02   -0.002  0.5357735
-0.014   -0.02   -0.001  0.5383836
-0.014   -0.02   0.0  0.5413632
-0.014   -0.02   0.001  0.54378545
-0.014   -0.02   0.002  0.54642767
-0.014   -0.02   0.003  0.5484948
-0.014   -0.02   0.004  0.5499283
-0.014   -0.02   0.005  0.551187
-0.014   -0.02   0.006  0.55222243
-0.014   -0.02   0.007  0.55361915
-0.014   -0.02   0.008  0.55529195
-0.014   -0.02   0.009  0.5565709
-0.014   -0.02   0.01  0.5578805
-0.014   -0.02   0.011  0.5597279
-0.014   -0.02   0.012  0.5621353
-0.014   -0.02   0.013  0.5653167
-0.014   -0.02   0.014  0.56838924
-0.014   -0.02   0.015  0.571136
-0.014   -0.02   0.016  0.57391703
-0.014   -0.02   0.017  0.5768576
-0.014   -0.02   0.018  0.5798572
-0.014   -0.02   0.019  0.5833348
-0.013   -0.02   -0.02  0.50928044
-0.013   -0.02   -0.019  0.5106032
-0.013   -0.02   -0.018  0.5120041
-0.013   -0.02   -0.017  0.5132231
-0.013   -0.02   -0.016  0.51395744
-0.013   -0.02   -0.015  0.51439565
-0.013   -0.02   -0.014  0.515024
-0.013   -0.02   -0.013  0.5154064
-0.013   -0.02   -0.012  0.5154755
-0.013   -0.02   -0.011  0.5156224
-0.013   -0.02   -0.01  0.51588553
-0.013   -0.02   -0.009  0.5165898
-0.013   -0.02   -0.008  0.51723385
-0.013   -0.02   -0.007  0.5181122
-0.013   -0.02   -0.006  0.5195421
-0.013   -0.02   -0.005  0.52063334
-0.013   -0.02   -0.004  0.5209009
-0.013   -0.02   -0.003  0.5228294
-0.013   -0.02   -0.002  0.52557915
-0.013   -0.02   -0.001  0.5284474
-0.013   -0.02   0.0  0.5314907
-0.013   -0.02   0.001  0.53421056
-0.013   -0.02   0.002  0.5372692
-0.013   -0.02   0.003  0.53946424
-0.013   -0.02   0.004  0.54081976
-0.013   -0.02   0.005  0.54214084
-0.013   -0.02   0.006  0.543596
-0.013   -0.02   0.007  0.54534745
-0.013   -0.02   0.008  0.5468441
-0.013   -0.02   0.009  0.5482247
-0.013   -0.02   0.01  0.54972696
-0.013   -0.02   0.011  0.5519341
-0.013   -0.02   0.012  0.5543823
-0.013   -0.02   0.013  0.557531
-0.013   -0.02   0.014  0.56090707
-0.013   -0.02   0.015  0.5639697
-0.013   -0.02   0.016  0.56631595
-0.013   -0.02   0.017  0.5689221
-0.013   -0.02   0.018  0.5720396
-0.013   -0.02   0.019  0.5753479
-0.012   -0.02   -0.02  0.49954093
-0.012   -0.02   -0.019  0.50086397
-0.012   -0.02   -0.018  0.5020523
-0.012   -0.02   -0.017  0.5030846
-0.012   -0.02   -0.016  0.5040414
-0.012   -0.02   -0.015  0.5047148
-0.012   -0.02   -0.014  0.5052452
-0.012   -0.02   -0.013  0.50570565
-0.012   -0.02   -0.012  0.5054466
-0.012   -0.02   -0.011  0.5056653
-0.012   -0.02   -0.01  0.5062767
-0.012   -0.02   -0.009  0.50688607
-0.012   -0.02   -0.008  0.50718415
-0.012   -0.02   -0.007  0.5082526
-0.012   -0.02   -0.006  0.5095299
-0.012   -0.02   -0.005  0.51042783
-0.012   -0.02   -0.004  0.5115178
-0.012   -0.02   -0.003  0.5131063
-0.012   -0.02   -0.002  0.5157639
-0.012   -0.02   -0.001  0.51882905
-0.012   -0.02   0.0  0.52145386
-0.012   -0.02   0.001  0.52461374
-0.012   -0.02   0.002  0.5277448
-0.012   -0.02   0.003  0.53026587
-0.012   -0.02   0.004  0.53200096
-0.012   -0.02   0.005  0.53378093
-0.012   -0.02   0.006  0.53570026
-0.012   -0.02   0.007  0.53730816
-0.012   -0.02   0.008  0.5388612
-0.012   -0.02   0.009  0.5404343
-0.012   -0.02   0.01  0.5424124
-0.012   -0.02   0.011  0.54462755
-0.012   -0.02   0.012  0.5468459
-0.012   -0.02   0.013  0.5498662
-0.012   -0.02   0.014  0.5529442
-0.012   -0.02   0.015  0.5557044
-0.012   -0.02   0.016  0.55849856
-0.012   -0.02   0.017  0.5611203
-0.012   -0.02   0.018  0.5637316
-0.012   -0.02   0.019  0.56661737
-0.011   -0.02   -0.02  0.49020034
-0.011   -0.02   -0.019  0.4914325
-0.011   -0.02   -0.018  0.49237484
-0.011   -0.02   -0.017  0.493442
-0.011   -0.02   -0.016  0.49467415
-0.011   -0.02   -0.015  0.49542367
-0.011   -0.02   -0.014  0.49600983
-0.011   -0.02   -0.013  0.49574655
-0.011   -0.02   -0.012  0.4961533
-0.011   -0.02   -0.011  0.496426
-0.011   -0.02   -0.01  0.4967016
-0.011   -0.02   -0.009  0.49691373
-0.011   -0.02   -0.008  0.4974935
-0.011   -0.02   -0.007  0.49820584
-0.011   -0.02   -0.006  0.49943012
-0.011   -0.02   -0.005  0.5008936
-0.011   -0.02   -0.004  0.5023996
-0.011   -0.02   -0.003  0.5046873
-0.011   -0.02   -0.002  0.50705993
-0.011   -0.02   -0.001  0.509651
-0.011   -0.02   0.0  0.512129
-0.011   -0.02   0.001  0.5149764
-0.011   -0.02   0.002  0.5180522
-0.011   -0.02   0.003  0.52118707
-0.011   -0.02   0.004  0.5237058
-0.011   -0.02   0.005  0.5257697
-0.011   -0.02   0.006  0.5274502
-0.011   -0.02   0.007  0.5291617
-0.011   -0.02   0.008  0.53085345
-0.011   -0.02   0.009  0.5325817
-0.011   -0.02   0.01  0.5347898
-0.011   -0.02   0.011  0.53688705
-0.011   -0.02   0.012  0.53891057
-0.011   -0.02   0.013  0.5416793
-0.011   -0.02   0.014  0.5444264
-0.011   -0.02   0.015  0.5472779
-0.011   -0.02   0.016  0.5502967
-0.011   -0.02   0.017  0.5531769
-0.011   -0.02   0.018  0.5558759
-0.011   -0.02   0.019  0.5586356
-0.01   -0.02   -0.02  0.47954923
-0.01   -0.02   -0.019  0.48122144
-0.01   -0.02   -0.018  0.482446
-0.01   -0.02   -0.017  0.48328638
-0.01   -0.02   -0.016  0.4842422
-0.01   -0.02   -0.015  0.48547846
-0.01   -0.02   -0.014  0.4861014
-0.01   -0.02   -0.013  0.4862197
-0.01   -0.02   -0.012  0.4858274
-0.01   -0.02   -0.011  0.48630112
-0.01   -0.02   -0.01  0.48704678
-0.01   -0.02   -0.009  0.48717892
-0.01   -0.02   -0.008  0.48808378
-0.01   -0.02   -0.007  0.488864
-0.01   -0.02   -0.006  0.49006754
-0.01   -0.02   -0.005  0.4918846
-0.01   -0.02   -0.004  0.49411047
-0.01   -0.02   -0.003  0.49644524
-0.01   -0.02   -0.002  0.49857426
-0.01   -0.02   -0.001  0.50084823
-0.01   -0.02   0.0  0.5034128
-0.01   -0.02   0.001  0.5058438
-0.01   -0.02   0.002  0.5086203
-0.01   -0.02   0.003  0.51218414
-0.01   -0.02   0.004  0.5151752
-0.01   -0.02   0.005  0.51782626
-0.01   -0.02   0.006  0.520099
-0.01   -0.02   0.007  0.52169424
-0.01   -0.02   0.008  0.52329755
-0.01   -0.02   0.009  0.5253387
-0.01   -0.02   0.01  0.52746654
-0.01   -0.02   0.011  0.5290155
-0.01   -0.02   0.012  0.531092
-0.01   -0.02   0.013  0.53352726
-0.01   -0.02   0.014  0.5361566
-0.01   -0.02   0.015  0.53893447
-0.01   -0.02   0.016  0.5419457
-0.01   -0.02   0.017  0.5452298
-0.01   -0.02   0.018  0.5481507
-0.01   -0.02   0.019  0.5514093
-0.009   -0.02   -0.02  0.46835572
-0.009   -0.02   -0.019  0.4698807
-0.009   -0.02   -0.018  0.4716949
-0.009   -0.02   -0.017  0.47323525
-0.009   -0.02   -0.016  0.4741897
-0.009   -0.02   -0.015  0.475258
-0.009   -0.02   -0.014  0.47531813
-0.009   -0.02   -0.013  0.475446
-0.009   -0.02   -0.012  0.4757023
