Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is v1
strin_x    strain_y    strain_z    v1
0.007   0.0   0.044  0.5445639
0.007   0.0   0.045  0.5480439
0.007   0.0   0.046  0.5514623
0.007   0.0   0.047  0.55490893
0.007   0.0   0.048  0.55832237
0.007   0.0   0.049  0.5617312
0.008   0.0   0.0  0.39684194
0.008   0.0   0.001  0.39861226
0.008   0.0   0.002  0.4005652
0.008   0.0   0.003  0.4036371
0.008   0.0   0.004  0.40729785
0.008   0.0   0.005  0.41051823
0.008   0.0   0.006  0.41290534
0.008   0.0   0.007  0.41623023
0.008   0.0   0.008  0.41991222
0.008   0.0   0.009  0.42348993
0.008   0.0   0.01  0.4262359
0.008   0.0   0.011  0.42854664
0.008   0.0   0.012  0.43109092
0.008   0.0   0.013  0.43355876
0.008   0.0   0.014  0.4358977
0.008   0.0   0.015  0.43827534
0.008   0.0   0.016  0.44057673
0.008   0.0   0.017  0.4427455
0.008   0.0   0.018  0.44527894
0.008   0.0   0.019  0.44816947
0.008   0.0   0.02  0.4511237
0.008   0.0   0.021  0.45426953
0.008   0.0   0.022  0.45759636
0.008   0.0   0.023  0.46079147
0.008   0.0   0.024  0.4640535
0.008   0.0   0.025  0.46759343
0.008   0.0   0.026  0.47105676
0.008   0.0   0.027  0.47461206
0.008   0.0   0.028  0.4782461
0.008   0.0   0.029  0.48192757
0.008   0.0   0.03  0.48554552
0.008   0.0   0.031  0.48921138
0.008   0.0   0.032  0.4931
0.008   0.0   0.033  0.49716502
0.008   0.0   0.034  0.5011439
0.008   0.0   0.035  0.5050173
0.008   0.0   0.036  0.5088588
0.008   0.0   0.037  0.51264507
0.008   0.0   0.038  0.5163067
0.008   0.0   0.039  0.52004665
0.008   0.0   0.04  0.52355605
0.008   0.0   0.041  0.52704185
0.008   0.0   0.042  0.5306058
0.008   0.0   0.043  0.53420526
0.008   0.0   0.044  0.53783476
0.008   0.0   0.045  0.54146075
0.008   0.0   0.046  0.5450888
0.008   0.0   0.047  0.54870695
0.008   0.0   0.048  0.5523357
0.008   0.0   0.049  0.55578196
0.009   0.0   0.0  0.3821686
0.009   0.0   0.001  0.3839415
0.009   0.0   0.002  0.38651985
0.009   0.0   0.003  0.3889816
0.009   0.0   0.004  0.39243954
0.009   0.0   0.005  0.3957687
0.009   0.0   0.006  0.39845476
0.009   0.0   0.007  0.40185058
0.009   0.0   0.008  0.40580958
0.009   0.0   0.009  0.4093822
0.009   0.0   0.01  0.412722
0.009   0.0   0.011  0.41523534
0.009   0.0   0.012  0.41772833
0.009   0.0   0.013  0.42031014
0.009   0.0   0.014  0.4228928
0.009   0.0   0.015  0.42545113
0.009   0.0   0.016  0.42831516
0.009   0.0   0.017  0.43130803
0.009   0.0   0.018  0.43422663
0.009   0.0   0.019  0.43699622
0.009   0.0   0.02  0.44007695
0.009   0.0   0.021  0.4432414
0.009   0.0   0.022  0.44685817
0.009   0.0   0.023  0.45062256
0.009   0.0   0.024  0.45442495
0.009   0.0   0.025  0.4582188
0.009   0.0   0.026  0.46189842
0.009   0.0   0.027  0.46567926
0.009   0.0   0.028  0.46924973
0.009   0.0   0.029  0.47288954
0.009   0.0   0.03  0.47663903
0.009   0.0   0.031  0.4804393
0.009   0.0   0.032  0.48411906
0.009   0.0   0.033  0.48799193
0.009   0.0   0.034  0.49211705
0.009   0.0   0.035  0.49630427
0.009   0.0   0.036  0.5003027
0.009   0.0   0.037  0.50413644
0.009   0.0   0.038  0.50790703
0.009   0.0   0.039  0.5116377
0.009   0.0   0.04  0.51539433
0.009   0.0   0.041  0.5192771
0.009   0.0   0.042  0.52302384
0.009   0.0   0.043  0.52679276
0.009   0.0   0.044  0.5306478
0.009   0.0   0.045  0.5344119
0.009   0.0   0.046  0.53811884
0.009   0.0   0.047  0.541801
0.009   0.0   0.048  0.54545337
0.009   0.0   0.049  0.54910284
0.01   0.0   0.0  0.3681453
0.01   0.0   0.001  0.3700735
0.01   0.0   0.002  0.3727349
0.01   0.0   0.003  0.3752991
0.01   0.0   0.004  0.37844616
0.01   0.0   0.005  0.38205108
0.01   0.0   0.006  0.38481724
0.01   0.0   0.007  0.38828635
0.01   0.0   0.008  0.39232498
0.01   0.0   0.009  0.3964959
0.01   0.0   0.01  0.3996915
0.01   0.0   0.011  0.40214753
0.01   0.0   0.012  0.40493697
0.01   0.0   0.013  0.4074772
0.01   0.0   0.014  0.41003728
0.01   0.0   0.015  0.41243553
0.01   0.0   0.016  0.41562837
0.01   0.0   0.017  0.41925764
0.01   0.0   0.018  0.4222877
0.01   0.0   0.019  0.42619064
0.01   0.0   0.02  0.4300338
0.01   0.0   0.021  0.4339104
0.01   0.0   0.022  0.43749532
0.01   0.0   0.023  0.44118392
0.01   0.0   0.024  0.44482768
0.01   0.0   0.025  0.4485839
0.01   0.0   0.026  0.45244825
0.01   0.0   0.027  0.45641765
0.01   0.0   0.028  0.4602365
0.01   0.0   0.029  0.46402133
0.01   0.0   0.03  0.46772087
0.01   0.0   0.031  0.47133064
0.01   0.0   0.032  0.4750955
0.01   0.0   0.033  0.47897625
0.01   0.0   0.034  0.4829623
0.01   0.0   0.035  0.48698878
0.01   0.0   0.036  0.49113214
0.01   0.0   0.037  0.49513423
0.01   0.0   0.038  0.499044
0.01   0.0   0.039  0.5029905
0.01   0.0   0.04  0.50695914
0.01   0.0   0.041  0.5108405
0.01   0.0   0.042  0.51481074
0.01   0.0   0.043  0.51877683
0.01   0.0   0.044  0.52271855
0.01   0.0   0.045  0.5266563
0.01   0.0   0.046  0.5305637
0.01   0.0   0.047  0.53442013
0.01   0.0   0.048  0.53825384
0.01   0.0   0.049  0.5420832
0.011   0.0   0.0  0.35513145
0.011   0.0   0.001  0.35661358
0.011   0.0   0.002  0.35986668
0.011   0.0   0.003  0.36257023
0.011   0.0   0.004  0.36598796
0.011   0.0   0.005  0.36892897
0.011   0.0   0.006  0.37189806
0.011   0.0   0.007  0.37540781
0.011   0.0   0.008  0.37925485
0.011   0.0   0.009  0.3832842
0.011   0.0   0.01  0.38709533
0.011   0.0   0.011  0.39008284
0.011   0.0   0.012  0.39269793
0.011   0.0   0.013  0.39548063
0.011   0.0   0.014  0.39792997
0.011   0.0   0.015  0.40016824
0.011   0.0   0.016  0.40333232
0.011   0.0   0.017  0.40754357
0.011   0.0   0.018  0.41168624
0.011   0.0   0.019  0.41572267
0.011   0.0   0.02  0.41995806
0.011   0.0   0.021  0.42398867
0.011   0.0   0.022  0.42773628
0.011   0.0   0.023  0.43152744
0.011   0.0   0.024  0.4354908
0.011   0.0   0.025  0.43926185
0.011   0.0   0.026  0.443012
0.011   0.0   0.027  0.44688323
0.011   0.0   0.028  0.45087332
0.011   0.0   0.029  0.45491844
0.011   0.0   0.03  0.45895672
0.011   0.0   0.031  0.46270043
0.011   0.0   0.032  0.46637756
0.011   0.0   0.033  0.47028774
0.011   0.0   0.034  0.47424543
0.011   0.0   0.035  0.47819567
0.011   0.0   0.036  0.4821865
0.011   0.0   0.037  0.48624402
0.011   0.0   0.038  0.49030465
0.011   0.0   0.039  0.49434364
0.011   0.0   0.04  0.49826032
0.011   0.0   0.041  0.5022511
0.011   0.0   0.042  0.506311
0.011   0.0   0.043  0.5104281
0.011   0.0   0.044  0.51461995
0.011   0.0   0.045  0.51874346
0.011   0.0   0.046  0.522695
0.011   0.0   0.047  0.52666914
0.011   0.0   0.048  0.53060395
0.011   0.0   0.049  0.5345517
0.012   0.0   0.0  0.34327757
0.012   0.0   0.001  0.34398037
0.012   0.0   0.002  0.34699228
0.012   0.0   0.003  0.34997448
0.012   0.0   0.004  0.35374463
0.012   0.0   0.005  0.35726988
0.012   0.0   0.006  0.36047584
0.012   0.0   0.007  0.36382204
0.012   0.0   0.008  0.36722445
0.012   0.0   0.009  0.37060004
0.012   0.0   0.01  0.3745485
0.012   0.0   0.011  0.3781184
0.012   0.0   0.012  0.3809381
0.012   0.0   0.013  0.3836024
0.012   0.0   0.014  0.38615838
0.012   0.0   0.015  0.38895994
0.012   0.0   0.016  0.3925333
0.012   0.0   0.017  0.39660093
0.012   0.0   0.018  0.40056694
0.012   0.0   0.019  0.4051997
0.012   0.0   0.02  0.4095701
0.012   0.0   0.021  0.41416228
0.012   0.0   0.022  0.41829467
0.012   0.0   0.023  0.42204392
0.012   0.0   0.024  0.42591512
0.012   0.0   0.025  0.4297877
0.012   0.0   0.026  0.4337448
0.012   0.0   0.027  0.43774188
0.012   0.0   0.028  0.44181168
0.012   0.0   0.029  0.4457808
0.012   0.0   0.03  0.44972268
0.012   0.0   0.031  0.4536972
0.012   0.0   0.032  0.457707
0.012   0.0   0.033  0.4616984
0.012   0.0   0.034  0.4657572
0.012   0.0   0.035  0.46991706
0.012   0.0   0.036  0.4739281
0.012   0.0   0.037  0.4778776
0.012   0.0   0.038  0.48181182
0.012   0.0   0.039  0.48586655
0.012   0.0   0.04  0.4898464
0.012   0.0   0.041  0.49385
0.012   0.0   0.042  0.4978717
0.012   0.0   0.043  0.5019613
0.012   0.0   0.044  0.5061957
0.012   0.0   0.045  0.5104115
0.012   0.0   0.046  0.5147196
0.012   0.0   0.047  0.51896405
0.012   0.0   0.048  0.5230415
0.012   0.0   0.049  0.5270099
0.013   0.0   0.0  0.33152285
0.013   0.0   0.001  0.3320272
0.013   0.0   0.002  0.33479524
0.013   0.0   0.003  0.33799145
0.013   0.0   0.004  0.341445
