Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is vth
strin_x    strain_y    strain_z    vth
-0.015   -0.02   -0.002  -0.3645954
-0.015   -0.02   -0.001  -0.363871
-0.015   -0.02   0.0  -0.36362016
-0.015   -0.02   0.001  -0.36333412
-0.015   -0.02   0.002  -0.36284888
-0.015   -0.02   0.003  -0.36192238
-0.015   -0.02   0.004  -0.3612636
-0.015   -0.02   0.005  -0.3607551
-0.015   -0.02   0.006  -0.3603385
-0.015   -0.02   0.007  -0.35980052
-0.015   -0.02   0.008  -0.35957935
-0.015   -0.02   0.009  -0.35943657
-0.015   -0.02   0.01  -0.35937402
-0.015   -0.02   0.011  -0.35970527
-0.015   -0.02   0.012  -0.36026454
-0.015   -0.02   0.013  -0.36051673
-0.015   -0.02   0.014  -0.3607598
-0.015   -0.02   0.015  -0.36081764
-0.015   -0.02   0.016  -0.36055475
-0.015   -0.02   0.017  -0.36014357
-0.015   -0.02   0.018  -0.35972068
-0.015   -0.02   0.019  -0.35939926
-0.014   -0.02   -0.02  -0.39434695
-0.014   -0.02   -0.019  -0.39240825
-0.014   -0.02   -0.018  -0.39028645
-0.014   -0.02   -0.017  -0.38819855
-0.014   -0.02   -0.016  -0.38627636
-0.014   -0.02   -0.015  -0.38444895
-0.014   -0.02   -0.014  -0.38312066
-0.014   -0.02   -0.013  -0.38201562
-0.014   -0.02   -0.012  -0.38089505
-0.014   -0.02   -0.011  -0.37967086
-0.014   -0.02   -0.01  -0.37828732
-0.014   -0.02   -0.009  -0.37679487
-0.014   -0.02   -0.008  -0.37481654
-0.014   -0.02   -0.007  -0.37258422
-0.014   -0.02   -0.006  -0.37062967
-0.014   -0.02   -0.005  -0.36886632
-0.014   -0.02   -0.004  -0.3671146
-0.014   -0.02   -0.003  -0.3656882
-0.014   -0.02   -0.002  -0.36448467
-0.014   -0.02   -0.001  -0.3636539
-0.014   -0.02   0.0  -0.36329278
-0.014   -0.02   0.001  -0.36244738
-0.014   -0.02   0.002  -0.36172873
-0.014   -0.02   0.003  -0.36105412
-0.014   -0.02   0.004  -0.3603794
-0.014   -0.02   0.005  -0.3597449
-0.014   -0.02   0.006  -0.35951674
-0.014   -0.02   0.007  -0.35925785
-0.014   -0.02   0.008  -0.35914707
-0.014   -0.02   0.009  -0.35924736
-0.014   -0.02   0.01  -0.3591115
-0.014   -0.02   0.011  -0.35931665
-0.014   -0.02   0.012  -0.36009675
-0.014   -0.02   0.013  -0.36045498
-0.014   -0.02   0.014  -0.3601573
-0.014   -0.02   0.015  -0.35980904
-0.014   -0.02   0.016  -0.35930645
-0.014   -0.02   0.017  -0.35877442
-0.014   -0.02   0.018  -0.3584584
-0.014   -0.02   0.019  -0.35834152
-0.013   -0.02   -0.02  -0.39384228
-0.013   -0.02   -0.019  -0.3917622
-0.013   -0.02   -0.018  -0.38995495
-0.013   -0.02   -0.017  -0.38803178
-0.013   -0.02   -0.016  -0.38614938
-0.013   -0.02   -0.015  -0.38448268
-0.013   -0.02   -0.014  -0.3831095
-0.013   -0.02   -0.013  -0.38180405
-0.013   -0.02   -0.012  -0.3807587
-0.013   -0.02   -0.011  -0.3795829
-0.013   -0.02   -0.01  -0.3781435
-0.013   -0.02   -0.009  -0.37670612
-0.013   -0.02   -0.008  -0.37463057
-0.013   -0.02   -0.007  -0.3725183
-0.013   -0.02   -0.006  -0.37059873
-0.013   -0.02   -0.005  -0.36886373
-0.013   -0.02   -0.004  -0.36725962
-0.013   -0.02   -0.003  -0.36577332
-0.013   -0.02   -0.002  -0.36453938
-0.013   -0.02   -0.001  -0.36365354
-0.013   -0.02   0.0  -0.36281455
-0.013   -0.02   0.001  -0.3616075
-0.013   -0.02   0.002  -0.36075956
-0.013   -0.02   0.003  -0.3601744
-0.013   -0.02   0.004  -0.35938513
-0.013   -0.02   0.005  -0.35881704
-0.013   -0.02   0.006  -0.35876697
-0.013   -0.02   0.007  -0.35884693
-0.013   -0.02   0.008  -0.3588461
-0.013   -0.02   0.009  -0.3589431
-0.013   -0.02   0.01  -0.35889328
-0.013   -0.02   0.011  -0.3592194
-0.013   -0.02   0.012  -0.35974437
-0.013   -0.02   0.013  -0.35961348
-0.013   -0.02   0.014  -0.35929042
-0.013   -0.02   0.015  -0.35889784
-0.013   -0.02   0.016  -0.35824728
-0.013   -0.02   0.017  -0.35771227
-0.013   -0.02   0.018  -0.3576966
-0.013   -0.02   0.019  -0.35791826
